entry_date,exit_date,side,contracts,short_strike,long_strike,entry_credit,exit_debit,max_loss_dollars,net_pnl,return_on_risk_pct
2024-04-03,2024-04-04,bull_put,22,497.0,472.0,4.2933,6.0618,45554.69,-3934.67,-8.64
2024-04-04,2024-04-10,bull_put,21,491.0,466.0,4.2738,3.2269,43525.05,2156.48,4.95
2024-04-10,2024-04-12,bull_put,22,492.0,467.0,4.2787,4.894,45586.78,-1397.54,-3.07
2024-04-12,2024-04-15,bull_put,22,489.0,464.0,4.2941,6.1144,45552.97,-4048.72,-8.89
2024-05-23,2024-05-29,bull_put,21,503.0,478.0,4.261,3.6904,43551.84,1156.28,2.65
2024-05-30,2024-06-07,bull_put,20,500.0,474.0,4.3438,0.9934,43312.42,6660.8,15.38
2024-06-21,2024-07-05,bull_put,20,523.0,496.0,4.6314,0.5816,44737.19,8059.61,18.02
2024-07-17,2024-07-18,bull_put,20,535.0,507.0,4.7721,5.9238,46455.83,-2343.52,-5.04
2024-07-18,2024-07-19,bull_put,21,530.0,503.0,4.4603,5.3755,47333.44,-1963.9,-4.15
2024-07-19,2024-07-22,bull_put,21,527.0,500.0,4.5769,3.1873,47088.41,2876.26,6.11
2024-07-24,2024-07-25,bull_put,22,519.0,493.0,4.337,5.0063,47658.63,-1516.38,-3.18
2024-07-26,2024-07-29,bull_put,21,523.0,496.0,4.6493,4.4881,46936.44,296.58,0.63
2024-08-22,2024-09-03,bull_put,23,534.0,507.0,6.2225,4.0097,47788.27,5043.46,10.55
2024-09-03,2024-09-04,bull_put,22,530.0,503.0,4.6575,4.8588,49153.6,-487.07,-0.99
2024-09-04,2024-09-05,bull_put,22,529.0,502.0,4.6539,4.9001,49161.38,-585.6,-1.19
2024-09-05,2024-09-06,bull_put,21,528.0,501.0,4.69,7.4845,46851.0,-5910.45,-12.62
2024-09-18,2024-09-26,bull_put,20,539.0,511.0,4.7223,1.0452,46555.38,7314.13,15.71
2024-10-01,2024-10-03,bull_put,22,547.0,520.0,4.567,4.4484,49352.61,216.99,0.44
2024-10-03,2024-10-07,bull_put,21,547.0,519.0,4.8159,4.4943,48686.61,633.29,1.3
2024-10-17,2024-10-23,bull_put,20,561.0,532.0,4.9536,5.3076,48092.76,-747.98,-1.56
2024-10-23,2024-10-24,bull_put,21,556.0,528.0,4.6659,4.2697,49001.58,790.11,1.61
2024-10-24,2024-10-25,bull_put,20,558.0,529.0,4.9334,4.9023,48133.16,22.31,0.05
2024-10-25,2024-10-30,bull_put,21,557.0,529.0,4.6693,3.8302,48994.49,1720.15,3.51
2024-10-31,2024-11-01,bull_put,22,547.0,520.0,4.5621,3.9034,49363.29,1405.13,2.85
