entry_date,side,predicted_win_probability,accepted,model_ready,training_sample_count,realized_label,realized_net_pnl_per_spread
2025-02-21,bull_put,0.4918,0,1,195,0,-69.63
2025-07-15,bull_put,0.5385,0,1,196,1,419.14
2025-07-30,bull_put,0.6281,0,1,197,0,-59.08
2025-07-31,bull_put,0.6034,0,1,197,0,-307.72
2025-08-01,bull_put,0.5288,0,1,198,1,178.9
2025-08-18,bull_put,0.476,0,1,200,0,-112.35
2025-08-19,bull_put,0.4906,0,1,200,0,-39.0
2025-08-20,bull_put,0.4976,0,1,200,0,-62.4
2025-08-21,bull_put,0.4515,0,1,202,1,314.85
2025-09-02,bull_put,0.4597,0,1,203,1,462.46
2025-09-03,bull_put,0.4913,0,1,204,1,419.68
2025-09-24,bull_put,0.5992,0,1,206,0,-75.62
2025-09-25,bull_put,0.4873,0,1,206,1,435.49
2025-10-10,bull_put,0.4795,0,1,208,1,224.41
2025-10-13,bull_put,0.4952,0,1,208,0,-13.55
2025-10-14,bull_put,0.4961,0,1,209,0,-5.35
2025-10-16,bull_put,0.4641,0,1,210,1,452.95
2025-10-30,bull_put,0.4255,0,1,212,0,-58.32
2025-10-31,bull_put,0.4363,0,1,212,0,-164.53
2025-11-03,bull_put,0.4507,0,1,212,0,-232.65
2025-11-04,bull_put,0.4619,0,1,212,1,67.65
2025-11-05,bull_put,0.4053,0,1,215,0,-202.33
2025-11-06,bull_put,0.3716,0,1,216,1,25.89
2025-11-07,bull_put,0.4533,0,1,217,1,131.59
2025-11-13,bull_put,0.3806,0,1,218,1,5.19
2025-11-14,bull_put,0.3673,0,1,219,0,-175.55
2025-12-09,bull_put,0.4581,0,1,221,1,35.02
2025-12-15,bull_put,0.448,0,1,222,0,-41.39
2025-12-16,bull_put,0.4215,0,1,222,0,-215.31
2025-12-18,bull_put,0.4569,0,1,224,1,434.9
2025-12-30,bull_put,0.4349,0,1,224,0,-133.99
2025-12-31,bull_put,0.4771,0,1,225,1,40.32
2026-01-02,bull_put,0.5314,0,1,226,1,412.88
2026-01-14,bull_put,0.4954,0,1,227,0,-347.54
2026-01-15,bull_put,0.5413,0,1,228,0,-449.23
2026-01-16,bull_put,0.5947,0,1,228,0,-445.74
2026-01-21,bull_put,0.4648,0,1,231,1,449.17
2026-01-30,bull_put,0.3495,0,1,231,0,-27.5
2026-02-03,bull_put,0.5125,0,1,232,0,-84.39
2026-02-04,bull_put,0.5021,0,1,233,0,-253.01
